embedding_size,algorithm,n_clusters,ari_score,nmi_score,homogeneity,completeness,v_measure,precision,recall,f1_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,noise_points,total_points,noise_percentage,clustered_points,clustered_percentage
50,K-means++,13,0.525112799465333,0.7546740447196578,0.9797370715334881,0.6136969440409374,0.7546740447196578,0.6464328537170264,0.8244029120863984,0.7246507590621938,0.6191384626849145,1973516.144559775,0.36933104709321984,0,962,0.0,962,100.0
50,Hierarchical (ward),13,0.5370001035034302,0.7556788543662064,0.9797676604382105,0.615014932246263,0.7556788543662065,0.6477272727272727,0.8239489076232195,0.7252875135538304,0.5647469939339185,1663028.6858449455,0.3888864496521914,0,962,0.0,962,100.0
50,Hierarchical (complete),13,0.762848907087942,0.834146735503188,0.9784140745645613,0.7269568163888129,0.8341467355031879,0.6458333333333334,0.8807161611152435,0.7452046017794612,0.5394234856335551,1155591.9521577023,0.389291311524335,0,962,0.0,962,100.0
50,Hierarchical (average),13,0.9784765065903129,0.9458485987501453,0.9801498088517979,0.9138670137313312,0.9458485987501453,0.6666666666666666,0.9008749093921508,0.7662741226144872,0.8083864125101806,758437.5923683214,0.24687925995338936,0,962,0.0,962,100.0
50,Hierarchical (single),13,0.9851279055995995,0.970501855077853,0.9801498088517979,0.9610419862148645,0.9705018550778529,0.6666666666666666,0.9686366366366367,0.7897712387094563,0.7386873637621053,635490.8499337441,0.21201501645147242,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=0.1, min_samples=2)",37,0.34044357115658536,0.5535420237212014,0.840967974002187,0.41254308818581376,0.5535420237212014,0.5058479532163743,0.7056467045071916,0.5892720019740937,,,,114,962,11.85031185031185,848,88.14968814968816
50,"DBSCAN (euclidean, eps=0.1, min_samples=3)",24,0.3329161192139365,0.5425968074239598,0.7936810361206391,0.41219670179913565,0.5425968074239597,0.4238095238095238,0.7473133711738583,0.5408800824070252,,,,140,962,14.553014553014554,822,85.44698544698545
50,"DBSCAN (euclidean, eps=0.1, min_samples=4)",19,0.3289635226075983,0.5422800610140002,0.7763705331069891,0.41665166483036,0.5422800610140002,0.4230769230769231,0.7473133711738583,0.5402830888184588,,,,156,962,16.216216216216218,806,83.78378378378379
50,"DBSCAN (euclidean, eps=0.1, min_samples=5)",18,0.32188156683401237,0.5345484972731114,0.7592005513461146,0.412490155146869,0.5345484972731115,0.42265469061876243,0.7471222396753873,0.5398887785981445,,,,167,962,17.35966735966736,795,82.64033264033263
50,"DBSCAN (euclidean, eps=0.25, min_samples=2)",15,0.8633615694240957,0.8323676927622744,0.9621573824745913,0.733431812698226,0.8323676927622744,0.6017857142857143,0.8359387121111258,0.6997947113239358,,,,20,962,2.079002079002079,942,97.92099792099792
50,"DBSCAN (euclidean, eps=0.25, min_samples=3)",14,0.8631752390397652,0.8295035449536315,0.9565003819276475,0.7322773364963252,0.8295035449536314,0.5241341991341992,0.8359387121111258,0.644294969446102,,,,22,962,2.2869022869022873,940,97.71309771309772
50,"DBSCAN (euclidean, eps=0.25, min_samples=4)",13,0.8630419480111585,0.8297680084745217,0.9535929602689049,0.7344048420564719,0.8297680084745216,0.520952380952381,0.8359387121111258,0.641885357831258,,,,25,962,2.598752598752599,937,97.4012474012474
50,"DBSCAN (euclidean, eps=0.25, min_samples=5)",10,0.8620406774019603,0.8252117734744208,0.9356461126307987,0.738094461692123,0.8252117734744208,0.43906048906048906,0.8359387121111258,0.5757300230883899,,,,37,962,3.8461538461538463,925,96.15384615384616
50,"DBSCAN (euclidean, eps=0.5, min_samples=2)",10,0.9871096756957702,0.9649011909566821,0.976679094277719,0.9534039655143525,0.964901190956682,0.6388888888888888,0.9583764108936522,0.7666804511141979,,,,3,962,0.31185031185031187,959,99.68814968814968
50,"DBSCAN (euclidean, eps=0.5, min_samples=3)",8,0.9870538517722561,0.963228560463779,0.9719156264349648,0.9546954102747388,0.9632285604637791,0.5476190476190476,0.9583764108936522,0.6969810890564742,,,,7,962,0.7276507276507277,955,99.27234927234927
50,"DBSCAN (euclidean, eps=0.5, min_samples=4)",8,0.9870538517722561,0.963228560463779,0.9719156264349648,0.9546954102747388,0.9632285604637791,0.5476190476190476,0.9583764108936522,0.6969810890564742,,,,7,962,0.7276507276507277,955,99.27234927234927
50,"DBSCAN (euclidean, eps=0.5, min_samples=5)",6,0.9849592943217205,0.9539676802603895,0.9574462033648092,0.9505143414865519,0.9539676802603895,0.4583333333333333,0.95815418867143,0.6200605318704605,,,,16,962,1.6632016632016633,946,98.33679833679834
50,"DBSCAN (euclidean, eps=0.75, min_samples=2)",6,0.9804637103438149,0.9648775475767556,0.9495591181229992,0.9806983192722395,0.9648775475767554,0.5,0.9991111111111111,0.6664690186777349,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=0.75, min_samples=3)",6,0.9804637103438149,0.9648775475767556,0.9495591181229992,0.9806983192722395,0.9648775475767554,0.5,0.9991111111111111,0.6664690186777349,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=0.75, min_samples=4)",6,0.9804637103438149,0.9648775475767556,0.9495591181229992,0.9806983192722395,0.9648775475767554,0.5,0.9991111111111111,0.6664690186777349,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=0.75, min_samples=5)",5,0.9804451673499048,0.9637656884879533,0.9474472267039651,0.9806561274356336,0.9637656884879534,0.4333333333333333,0.9991111111111111,0.6044885717240666,,,,5,962,0.5197505197505198,957,99.48024948024948
50,"DBSCAN (euclidean, eps=1.0, min_samples=2)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.0, min_samples=3)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.0, min_samples=4)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.0, min_samples=5)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.25, min_samples=2)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.25, min_samples=3)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.25, min_samples=4)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.25, min_samples=5)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.5, min_samples=2)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.5, min_samples=3)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.5, min_samples=4)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.5, min_samples=5)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.75, min_samples=2)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.75, min_samples=3)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.75, min_samples=4)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=1.75, min_samples=5)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
50,"DBSCAN (euclidean, eps=2.0, min_samples=2)",5,0.985619309476714,0.9710285865357161,0.9436885940946702,1.0000000000000004,0.9710285865357161,0.4166666666666667,1.0,0.5882352941176471,0.9278668222500119,191052.49966833732,0.2127492280532693,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=2.0, min_samples=3)",5,0.985619309476714,0.9710285865357161,0.9436885940946702,1.0000000000000004,0.9710285865357161,0.4166666666666667,1.0,0.5882352941176471,0.9278668222500119,191052.49966833732,0.2127492280532693,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=2.0, min_samples=4)",5,0.985619309476714,0.9710285865357161,0.9436885940946702,1.0000000000000004,0.9710285865357161,0.4166666666666667,1.0,0.5882352941176471,0.9278668222500119,191052.49966833732,0.2127492280532693,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=2.0, min_samples=5)",5,0.985619309476714,0.9710285865357161,0.9436885940946702,1.0000000000000004,0.9710285865357161,0.4166666666666667,1.0,0.5882352941176471,0.9278668222500119,191052.49966833732,0.2127492280532693,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=2.5, min_samples=2)",5,0.985619309476714,0.9710285865357161,0.9436885940946702,1.0000000000000004,0.9710285865357161,0.4166666666666667,1.0,0.5882352941176471,0.9278668222500119,191052.49966833732,0.2127492280532693,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=2.5, min_samples=3)",5,0.985619309476714,0.9710285865357161,0.9436885940946702,1.0000000000000004,0.9710285865357161,0.4166666666666667,1.0,0.5882352941176471,0.9278668222500119,191052.49966833732,0.2127492280532693,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=2.5, min_samples=4)",5,0.985619309476714,0.9710285865357161,0.9436885940946702,1.0000000000000004,0.9710285865357161,0.4166666666666667,1.0,0.5882352941176471,0.9278668222500119,191052.49966833732,0.2127492280532693,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=2.5, min_samples=5)",5,0.985619309476714,0.9710285865357161,0.9436885940946702,1.0000000000000004,0.9710285865357161,0.4166666666666667,1.0,0.5882352941176471,0.9278668222500119,191052.49966833732,0.2127492280532693,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=3.0, min_samples=2)",5,0.985619309476714,0.9710285865357161,0.9436885940946702,1.0000000000000004,0.9710285865357161,0.4166666666666667,1.0,0.5882352941176471,0.9278668222500119,191052.49966833732,0.2127492280532693,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=3.0, min_samples=3)",5,0.985619309476714,0.9710285865357161,0.9436885940946702,1.0000000000000004,0.9710285865357161,0.4166666666666667,1.0,0.5882352941176471,0.9278668222500119,191052.49966833732,0.2127492280532693,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=3.0, min_samples=4)",5,0.985619309476714,0.9710285865357161,0.9436885940946702,1.0000000000000004,0.9710285865357161,0.4166666666666667,1.0,0.5882352941176471,0.9278668222500119,191052.49966833732,0.2127492280532693,0,962,0.0,962,100.0
50,"DBSCAN (euclidean, eps=3.0, min_samples=5)",5,0.985619309476714,0.9710285865357161,0.9436885940946702,1.0000000000000004,0.9710285865357161,0.4166666666666667,1.0,0.5882352941176471,0.9278668222500119,191052.49966833732,0.2127492280532693,0,962,0.0,962,100.0
50,"DBSCAN (cosine, eps=0.1, min_samples=2)",2,-0.0016668257296314367,0.02106908623865386,0.011269710960047443,0.16148864174283886,0.02106908623865386,0.08333333333333333,0.9968888888888889,0.15380922992525545,,,,8,962,0.8316008316008316,954,99.16839916839916
50,"DBSCAN (cosine, eps=0.1, min_samples=3)",2,-0.0016668257296314367,0.02106908623865386,0.011269710960047443,0.16148864174283886,0.02106908623865386,0.08333333333333333,0.9968888888888889,0.15380922992525545,,,,8,962,0.8316008316008316,954,99.16839916839916
50,"DBSCAN (cosine, eps=0.1, min_samples=4)",2,-0.0016668257296314367,0.02106908623865386,0.011269710960047443,0.16148864174283886,0.02106908623865386,0.08333333333333333,0.9968888888888889,0.15380922992525545,,,,8,962,0.8316008316008316,954,99.16839916839916
50,"DBSCAN (cosine, eps=0.1, min_samples=5)",2,-0.0016668257296314367,0.02106908623865386,0.011269710960047443,0.16148864174283886,0.02106908623865386,0.08333333333333333,0.9968888888888889,0.15380922992525545,,,,8,962,0.8316008316008316,954,99.16839916839916
100,K-means++,13,0.525112799465333,0.7546740447196578,0.9797370715334881,0.6136969440409374,0.7546740447196578,0.6477713178294574,0.8244029120863984,0.7254909778106515,0.618001317073132,1993538.5102378542,0.37192589148113836,0,962,0.0,962,100.0
100,Hierarchical (ward),13,0.5370001035034302,0.7556788543662064,0.9797676604382105,0.615014932246263,0.7556788543662065,0.6477272727272727,0.8239489076232195,0.7252875135538304,0.5628763820666023,1677130.2754188657,0.39213165708516595,0,962,0.0,962,100.0
100,Hierarchical (complete),13,0.6670059827800973,0.8045865868461018,0.9783278219002938,0.6832484895655313,0.8045865868461018,0.6458333333333334,0.866430738077527,0.7400425127511245,0.49270205590373806,1208898.8715169954,0.3986370832469336,0,962,0.0,962,100.0
100,Hierarchical (average),13,0.9784765065903129,0.9458485987501453,0.9801498088517979,0.9138670137313312,0.9458485987501453,0.6666666666666666,0.9008749093921508,0.7662741226144872,0.8089519775766123,766939.2537567563,0.24743086637532422,0,962,0.0,962,100.0
100,Hierarchical (single),13,0.9851279055995995,0.970501855077853,0.9801498088517979,0.9610419862148645,0.9705018550778529,0.6666666666666666,0.9686366366366367,0.7897712387094563,0.7388646745151068,643137.2859948929,0.22061748444369428,0,962,0.0,962,100.0
100,"DBSCAN (euclidean, eps=0.1, min_samples=2)",71,0.08997387074460618,0.36065520626854924,0.5774534759819009,0.2622110730250146,0.36065520626854924,0.24404761904761907,0.7304873288799262,0.3658641359896215,,,,420,962,43.65904365904366,542,56.34095634095634
100,"DBSCAN (euclidean, eps=0.1, min_samples=3)",40,0.07834508981521518,0.3461784517756392,0.4961428542154185,0.2658288749471493,0.34617845177563916,0.24343015214384509,0.8212503986338217,0.3755438367716977,,,,482,962,50.1039501039501,480,49.8960498960499
100,"DBSCAN (euclidean, eps=0.1, min_samples=4)",28,0.07866431715678288,0.3409000234591082,0.4558871356109577,0.27223497264681884,0.3409000234591082,0.24294871794871797,0.8277707859936586,0.3756461901965782,,,,520,962,54.054054054054056,442,45.94594594594595
100,"DBSCAN (euclidean, eps=0.1, min_samples=5)",23,0.08377462561633287,0.3409047977462668,0.43646415137372585,0.2796732133991422,0.3409047977462668,0.2432721712538226,0.8329221621404476,0.3765616981651615,,,,545,962,56.65280665280665,417,43.34719334719335
100,"DBSCAN (euclidean, eps=0.25, min_samples=2)",34,0.3691923916886387,0.570544599245513,0.861090521193621,0.4266021184500347,0.570544599245513,0.42509363295880154,0.6645740952006375,0.5185180935409174,,,,89,962,9.251559251559252,873,90.74844074844076
100,"DBSCAN (euclidean, eps=0.25, min_samples=3)",24,0.3649659810793599,0.5659387174638492,0.8307307477610822,0.4291491727620338,0.5659387174638489,0.42507645259938837,0.7062407618673041,0.5307199676567487,,,,109,962,11.33056133056133,853,88.66943866943868
100,"DBSCAN (euclidean, eps=0.25, min_samples=4)",19,0.3584324515409764,0.559652106940007,0.8025859877950108,0.429613011228544,0.5596521069400069,0.4237179487179487,0.7060185396450818,0.5295973538196029,,,,130,962,13.513513513513514,832,86.48648648648648
100,"DBSCAN (euclidean, eps=0.25, min_samples=5)",17,0.35269878671754423,0.5548998432635016,0.7867243068336114,0.4286031334371173,0.5548998432635016,0.4231678486997635,0.7058274081466109,0.5291137656203174,,,,141,962,14.656964656964657,821,85.34303534303534
100,"DBSCAN (euclidean, eps=0.5, min_samples=2)",14,0.8666890433142822,0.8361571676535474,0.949716998703196,0.7468541150216554,0.8361571676535475,0.5191539578794482,0.8322094113818251,0.6394206318313616,,,,27,962,2.806652806652807,935,97.1933471933472
100,"DBSCAN (euclidean, eps=0.5, min_samples=3)",13,0.8664569080853414,0.8344242880801767,0.9451858682868992,0.7468989544639288,0.8344242880801767,0.5176639621365787,0.8322094113818251,0.6382892346418922,,,,29,962,3.0145530145530146,933,96.98544698544698
100,"DBSCAN (euclidean, eps=0.5, min_samples=4)",12,0.8661387956767032,0.8331951032756361,0.9402925417641418,0.7479994617243754,0.8331951032756361,0.5157781862745098,0.8322094113818251,0.636853724098621,,,,32,962,3.3264033264033266,930,96.67359667359668
100,"DBSCAN (euclidean, eps=0.5, min_samples=5)",10,0.8652206252890534,0.8279933036074372,0.9254898487583832,0.7490807325405354,0.8279933036074372,0.4371323529411766,0.8322094113818251,0.5731878810922958,,,,40,962,4.158004158004158,922,95.84199584199584
100,"DBSCAN (euclidean, eps=0.75, min_samples=2)",11,0.9742150522222335,0.927021322405991,0.9678642129064141,0.8894859167022852,0.9270213224059909,0.602337036260742,0.8545418867143004,0.7066094776813132,,,,13,962,1.3513513513513513,949,98.64864864864865
100,"DBSCAN (euclidean, eps=0.75, min_samples=3)",9,0.9740103559022615,0.9245041354085058,0.9605353958864437,0.8910783237951031,0.9245041354085058,0.524282737618208,0.8545418867143004,0.649860108195979,,,,17,962,1.7671517671517671,945,98.23284823284824
100,"DBSCAN (euclidean, eps=0.75, min_samples=4)",9,0.9722566703359767,0.9224252127585959,0.9595596719191779,0.8880578373284157,0.9224252127585959,0.5229204614450516,0.8543196644920782,0.6487485003732351,,,,18,962,1.8711018711018712,944,98.12889812889813
100,"DBSCAN (euclidean, eps=0.75, min_samples=5)",7,0.9717364687313793,0.9184107425017985,0.9470138595642176,0.8914847965532223,0.9184107425017985,0.4452851338097239,0.8543196644920782,0.5854331203096882,,,,26,962,2.7027027027027026,936,97.2972972972973
100,"DBSCAN (euclidean, eps=1.0, min_samples=2)",9,0.977264083395086,0.9512143592247086,0.9555538325406392,0.9469141215791277,0.9512143592247086,0.5416666666666666,0.95815418867143,0.6920829026788836,,,,4,962,0.4158004158004158,958,99.58419958419958
100,"DBSCAN (euclidean, eps=1.0, min_samples=3)",7,0.9771900074858675,0.9491466585098334,0.9501447969620385,0.9481506149696184,0.9491466585098334,0.4583333333333333,0.95815418867143,0.6200605318704605,,,,8,962,0.8316008316008316,954,99.16839916839916
100,"DBSCAN (euclidean, eps=1.0, min_samples=4)",7,0.9771900074858675,0.9491466585098334,0.9501447969620385,0.9481506149696184,0.9491466585098334,0.4583333333333333,0.95815418867143,0.6200605318704605,,,,8,962,0.8316008316008316,954,99.16839916839916
100,"DBSCAN (euclidean, eps=1.0, min_samples=5)",6,0.9767226870518319,0.9460964191294284,0.9447323382189413,0.9474644448763374,0.9460964191294284,0.4423076923076923,0.9570280625453039,0.6050025840475777,,,,13,962,1.3513513513513513,949,98.64864864864865
100,"DBSCAN (euclidean, eps=1.25, min_samples=2)",7,0.9794889797955963,0.9566942678982422,0.9495591181229992,0.9639374589882755,0.9566942678982422,0.5,0.9617547892720307,0.657945365618398,,,,1,962,0.10395010395010396,961,99.8960498960499
100,"DBSCAN (euclidean, eps=1.25, min_samples=3)",7,0.9794889797955963,0.9566942678982422,0.9495591181229992,0.9639374589882755,0.9566942678982422,0.5,0.9617547892720307,0.657945365618398,,,,1,962,0.10395010395010396,961,99.8960498960499
100,"DBSCAN (euclidean, eps=1.25, min_samples=4)",7,0.9791421300150709,0.953928962659488,0.9483889786401392,0.9595340502598128,0.9539289626594879,0.4583333333333333,0.9606286631459046,0.6205777721569141,,,,2,962,0.2079002079002079,960,99.7920997920998
100,"DBSCAN (euclidean, eps=1.25, min_samples=5)",6,0.9791050444516766,0.9522303010256747,0.9451653760030199,0.9594016393125455,0.9522303010256746,0.4305555555555555,0.9606286631459046,0.5946071011780684,,,,6,962,0.6237006237006237,956,99.37629937629939
100,"DBSCAN (euclidean, eps=1.5, min_samples=2)",6,0.9804637103438149,0.9648775475767556,0.9495591181229992,0.9806983192722395,0.9648775475767554,0.5,0.9991111111111111,0.6664690186777349,,,,1,962,0.10395010395010396,961,99.8960498960499
100,"DBSCAN (euclidean, eps=1.5, min_samples=3)",6,0.9804637103438149,0.9648775475767556,0.9495591181229992,0.9806983192722395,0.9648775475767554,0.5,0.9991111111111111,0.6664690186777349,,,,1,962,0.10395010395010396,961,99.8960498960499
100,"DBSCAN (euclidean, eps=1.5, min_samples=4)",6,0.9804637103438149,0.9648775475767556,0.9495591181229992,0.9806983192722395,0.9648775475767554,0.5,0.9991111111111111,0.6664690186777349,,,,1,962,0.10395010395010396,961,99.8960498960499
100,"DBSCAN (euclidean, eps=1.5, min_samples=5)",5,0.9804451673499048,0.9637656884879533,0.9474472267039651,0.9806561274356336,0.9637656884879534,0.4333333333333333,0.9991111111111111,0.6044885717240666,,,,5,962,0.5197505197505198,957,99.48024948024948
100,"DBSCAN (euclidean, eps=1.75, min_samples=2)",5,0.9873661609727604,0.9741175304367469,0.9495410627802772,0.9999999999999998,0.9741175304367466,0.5,1.0,0.6666666666666666,,,,1,962,0.10395010395010396,961,99.8960498960499
