,ari_score,ari_score,ari_score,ari_score,ari_score,clustered_percentage,clustered_percentage,clustered_percentage,clustered_percentage,clustered_percentage
embedding_size,50,100,150,200,250,50,100,150,200,250
algorithm,,,,,,,,,,
"DBSCAN (eps=0.1, min_samples=2)",0.1079274979168243,0.1079274979168243,0.1079274979168243,0.1068351838807154,0.1068351838807154,29.83367983367983,29.83367983367983,29.83367983367983,29.93762993762994,29.93762993762994
"DBSCAN (eps=0.1, min_samples=3)",0.07221136934819788,0.07221136934819788,0.07221136934819788,0.07124001890790833,0.07124001890790833,23.596673596673597,23.596673596673597,23.596673596673597,23.7006237006237,23.7006237006237
"DBSCAN (eps=0.1, min_samples=4)",0.06569598155784784,0.06569598155784784,0.06569598155784784,0.06477606416087621,0.06477606416087621,21.725571725571726,21.725571725571726,21.725571725571726,21.82952182952183,21.82952182952183
"DBSCAN (eps=0.1, min_samples=5)",0.051277624738951595,0.051277624738951595,0.051277624738951595,0.05047814240397327,0.05047814240397327,18.814968814968815,18.814968814968815,18.814968814968815,18.91891891891892,18.91891891891892
"DBSCAN (eps=0.25, min_samples=2)",0.1068351838807154,0.1068351838807154,0.1068351838807154,0.1068351838807154,0.1068351838807154,30.04158004158004,30.04158004158004,30.04158004158004,30.04158004158004,30.04158004158004
"DBSCAN (eps=0.25, min_samples=3)",0.07124001890790833,0.07124001890790833,0.07124001890790833,0.07124001890790833,0.07124001890790833,23.804573804573806,23.804573804573806,23.804573804573806,23.804573804573806,23.804573804573806
"DBSCAN (eps=0.25, min_samples=4)",0.06477606416087621,0.06477606416087621,0.06477606416087621,0.06477606416087621,0.06477606416087621,21.933471933471935,21.933471933471935,21.933471933471935,21.933471933471935,21.933471933471935
"DBSCAN (eps=0.25, min_samples=5)",0.05047814240397327,0.05047814240397327,0.05047814240397327,0.05047814240397327,0.05047814240397327,19.022869022869024,19.022869022869024,19.022869022869024,19.022869022869024,19.022869022869024
"DBSCAN (eps=0.5, min_samples=2)",0.10450877473645175,0.10450877473645175,0.10450877473645175,0.10450877473645175,0.10450877473645175,30.24948024948025,30.24948024948025,30.24948024948025,30.24948024948025,30.353430353430355
"DBSCAN (eps=0.5, min_samples=3)",0.07124001890790833,0.07124001890790833,0.07124001890790833,0.07124001890790833,0.07124001890790833,23.804573804573806,23.804573804573806,23.804573804573806,23.804573804573806,23.90852390852391
"DBSCAN (eps=0.5, min_samples=4)",0.06477606416087621,0.06477606416087621,0.06477606416087621,0.06477606416087621,0.06477606416087621,21.933471933471935,21.933471933471935,21.933471933471935,21.933471933471935,22.03742203742204
"DBSCAN (eps=0.5, min_samples=5)",0.05047814240397327,0.05047814240397327,0.05047814240397327,0.05047814240397327,0.05047814240397327,19.022869022869024,19.022869022869024,19.022869022869024,19.022869022869024,19.12681912681913
"DBSCAN (eps=0.75, min_samples=2)",0.10343623711404684,0.10343623711404684,0.10343623711404684,0.10343623711404684,0.10343623711404684,30.457380457380456,30.457380457380456,30.353430353430355,30.457380457380456,30.457380457380456
"DBSCAN (eps=0.75, min_samples=3)",0.07027890159912295,0.07027890159912295,0.07027890159912295,0.07027890159912295,0.07027890159912295,24.012474012474012,24.012474012474012,23.90852390852391,24.012474012474012,24.012474012474012
"DBSCAN (eps=0.75, min_samples=4)",0.0638663193193122,0.0638663193193122,0.0638663193193122,0.0638663193193122,0.0638663193193122,22.14137214137214,22.14137214137214,22.03742203742204,22.14137214137214,22.14137214137214
"DBSCAN (eps=0.75, min_samples=5)",0.04968879186364351,0.04968879186364351,0.04968879186364351,0.04968879186364351,0.04968879186364351,19.230769230769234,19.230769230769234,19.12681912681913,19.230769230769234,19.230769230769234
"DBSCAN (eps=1.0, min_samples=2)",0.10229328320966022,0.1020812298049635,0.10209858811182422,0.10209858811182422,0.10322398294691527,30.561330561330564,30.76923076923077,30.76923076923077,30.76923076923077,30.665280665280665
"DBSCAN (eps=1.0, min_samples=3)",0.06718660162922621,0.06491815279902186,0.06697900683426601,0.06697900683426601,0.06798241810223367,24.324324324324326,24.74012474012474,24.532224532224532,24.532224532224532,24.42827442827443
"DBSCAN (eps=1.0, min_samples=4)",0.0638663193193122,0.06459275162796568,0.0636275603720778,0.0636275603720778,0.06459275162796568,22.14137214137214,22.245322245322246,22.34927234927235,22.34927234927235,22.245322245322246
"DBSCAN (eps=1.0, min_samples=5)",0.04968879186364351,0.05024274738742347,0.04939876610895865,0.04939876610895865,0.05024274738742347,19.230769230769234,19.334719334719335,19.43866943866944,19.43866943866944,19.334719334719335
"DBSCAN (eps=1.25, min_samples=2)",0.10180212126070504,0.10180212126070504,0.10180212126070504,0.10066418523156424,0.10180212126070504,31.08108108108108,31.08108108108108,31.08108108108108,31.185031185031185,31.08108108108108
"DBSCAN (eps=1.25, min_samples=3)",0.06462870918901584,0.06462870918901584,0.06462870918901584,0.06160637058365642,0.06462870918901584,25.05197505197505,25.05197505197505,25.05197505197505,25.363825363825367,25.05197505197505
"DBSCAN (eps=1.25, min_samples=4)",0.06427230109375011,0.06427230109375011,0.06427230109375011,0.06427230109375011,0.06427230109375011,22.55717255717256,22.55717255717256,22.55717255717256,22.55717255717256,22.55717255717256
"DBSCAN (eps=1.25, min_samples=5)",0.04987193886753978,0.04987193886753978,0.04987193886753978,0.04987193886753978,0.04987193886753978,19.64656964656965,19.64656964656965,19.64656964656965,19.64656964656965,19.64656964656965
"DBSCAN (eps=1.5, min_samples=2)",0.09734228857056144,0.09734228857056144,0.09889902878019546,0.09734228857056144,0.09734228857056144,31.600831600831604,31.600831600831604,31.80873180873181,31.600831600831604,31.600831600831604
"DBSCAN (eps=1.5, min_samples=3)",0.06069321099867557,0.06069321099867557,0.06069321099867557,0.06069321099867557,0.06069321099867557,25.571725571725572,25.571725571725572,25.571725571725572,25.571725571725572,25.571725571725572
"DBSCAN (eps=1.5, min_samples=4)",0.06336880932155696,0.06336880932155696,0.06336880932155696,0.06336880932155696,0.06336880932155696,22.765072765072766,22.765072765072766,22.765072765072766,22.765072765072766,22.765072765072766
"DBSCAN (eps=1.5, min_samples=5)",0.04908891957507166,0.04908891957507166,0.04908891957507166,0.04908891957507166,0.04908891957507166,19.854469854469855,19.854469854469855,19.854469854469855,19.854469854469855,19.854469854469855
"DBSCAN (eps=1.75, min_samples=2)",0.09889902878019546,0.09978902194662344,0.09777658836226862,0.09777658836226862,0.09777658836226862,32.016632016632016,32.12058212058212,32.12058212058212,32.12058212058212,32.12058212058212
"DBSCAN (eps=1.75, min_samples=3)",0.06069321099867557,0.06142778150905843,0.059711009536421486,0.059711009536421486,0.059711009536421486,25.571725571725572,25.675675675675674,25.675675675675674,25.675675675675674,25.675675675675674
"DBSCAN (eps=1.75, min_samples=4)",0.06336880932155696,0.06406025708249384,0.05947632496608303,0.05947632496608303,0.05947632496608303,22.765072765072766,22.86902286902287,23.18087318087318,23.18087318087318,23.18087318087318
"DBSCAN (eps=1.75, min_samples=5)",0.04908891957507166,0.049608008065178885,0.04908891957507166,0.04908891957507166,0.04908891957507166,19.854469854469855,19.95841995841996,19.854469854469855,19.854469854469855,19.854469854469855
"DBSCAN (eps=10.0, min_samples=2)",0.08713386784797911,0.08980975822281255,0.08397097224622825,0.08764711160198865,0.08765316070750732,40.436590436590436,40.644490644490645,40.852390852390855,40.852390852390855,40.852390852390855
"DBSCAN (eps=10.0, min_samples=3)",0.05142954277170797,0.05628834217777007,0.05244069569644275,0.05052872775268047,0.05244069569644275,32.12058212058212,31.704781704781702,32.12058212058212,32.32848232848233,32.12058212058212
"DBSCAN (eps=10.0, min_samples=4)",0.04562118053144636,0.04475087461257528,0.04114546848162123,0.04475087461257528,0.04114546848162123,28.06652806652807,28.274428274428274,28.690228690228693,28.274428274428274,28.690228690228693
"DBSCAN (eps=10.0, min_samples=5)",0.041871656222458434,0.041871656222458434,0.04106639265813929,0.04106639265813929,0.041871656222458434,23.90852390852391,24.012474012474012,24.116424116424117,24.116424116424117,24.012474012474012
"DBSCAN (eps=2.0, min_samples=2)",0.09639328612217571,0.09639328612217571,0.09639328612217571,0.09639328612217571,0.09639328612217571,32.432432432432435,32.432432432432435,32.432432432432435,32.432432432432435,32.432432432432435
"DBSCAN (eps=2.0, min_samples=3)",0.06044124506579785,0.06044124506579785,0.06044124506579785,0.06044124506579785,0.06044124506579785,25.779625779625782,25.779625779625782,25.779625779625782,25.779625779625782,25.779625779625782
"DBSCAN (eps=2.0, min_samples=4)",0.0601505589575352,0.0601505589575352,0.0601505589575352,0.0601505589575352,0.0601505589575352,23.284823284823286,23.284823284823286,23.284823284823286,23.284823284823286,23.284823284823286
"DBSCAN (eps=2.0, min_samples=5)",0.049608008065178885,0.049608008065178885,0.049608008065178885,0.049608008065178885,0.049608008065178885,19.95841995841996,19.95841995841996,19.95841995841996,19.95841995841996,19.95841995841996
"DBSCAN (eps=2.5, min_samples=2)",0.09017393538364926,0.09017393538364926,0.08940331779675331,0.09147208699552728,0.08908539519598863,33.471933471933475,33.471933471933475,33.36798336798337,33.36798336798337,33.57588357588357
"DBSCAN (eps=2.5, min_samples=3)",0.0560956240488345,0.0560956240488345,0.055455888942615286,0.057266941538524394,0.055128855041211206,27.027027027027028,27.027027027027028,26.923076923076923,26.923076923076923,27.13097713097713
"DBSCAN (eps=2.5, min_samples=4)",0.06157624747131703,0.06157624747131703,0.05920416033070153,0.06068447384592182,0.057688027497680504,23.90852390852391,23.90852390852391,23.492723492723496,24.012474012474012,24.324324324324326
"DBSCAN (eps=2.5, min_samples=5)",0.04876470814204102,0.04876470814204102,0.04876470814204102,0.04799229752527817,0.04876470814204102,20.16632016632017,20.16632016632017,20.16632016632017,20.27027027027027,20.16632016632017
"DBSCAN (eps=3.0, min_samples=2)",0.09100678475615931,0.09178697747920764,0.09100678475615931,0.09100678475615931,0.09100678475615931,33.78378378378378,33.88773388773389,33.78378378378378,33.78378378378378,33.78378378378378
"DBSCAN (eps=3.0, min_samples=3)",0.05551760929678656,0.05742805418012893,0.05551760929678656,0.05551760929678656,0.05551760929678656,27.13097713097713,27.442827442827443,27.13097713097713,27.13097713097713,27.13097713097713
"DBSCAN (eps=3.0, min_samples=4)",0.05807116662659415,0.05807116662659415,0.05807116662659415,0.05807116662659415,0.05807116662659415,24.324324324324326,24.324324324324326,24.324324324324326,24.324324324324326,24.324324324324326
"DBSCAN (eps=3.0, min_samples=5)",0.04573647786381713,0.04573647786381713,0.04573647786381713,0.04573647786381713,0.04573647786381713,20.582120582120584,20.582120582120584,20.582120582120584,20.582120582120584,20.582120582120584
"DBSCAN (eps=3.5, min_samples=2)",0.08645532726269546,0.08645532726269546,0.08753311504372391,0.08753311504372391,0.08753311504372391,34.407484407484404,34.407484407484404,34.303534303534306,34.303534303534306,34.303534303534306
"DBSCAN (eps=3.5, min_samples=3)",0.053959201818728326,0.053959201818728326,0.05492408286477349,0.05492408286477349,0.05492408286477349,28.17047817047817,28.17047817047817,28.06652806652807,28.06652806652807,28.06652806652807
"DBSCAN (eps=3.5, min_samples=4)",0.05574159548391412,0.05574159548391412,0.059606407672021675,0.06023264569873308,0.059606407672021675,25.25987525987526,25.25987525987526,24.844074844074846,24.94802494802495,24.844074844074846
"DBSCAN (eps=3.5, min_samples=5)",0.04500507508822921,0.04500507508822921,0.04500507508822921,0.04712087616111829,0.04500507508822921,20.686070686070686,20.686070686070686,20.686070686070686,21.205821205821206,20.686070686070686
"DBSCAN (eps=4.0, min_samples=2)",0.0854000509496777,0.09061798956766924,0.09061798956766924,0.0854000509496777,0.09061798956766924,34.61538461538461,34.82328482328482,34.82328482328482,34.511434511434516,34.82328482328482
"DBSCAN (eps=4.0, min_samples=3)",0.05301633512159201,0.05301633512159201,0.05301633512159201,0.05301633512159201,0.05301633512159201,28.37837837837838,28.37837837837838,28.37837837837838,28.274428274428274,28.37837837837838
"DBSCAN (eps=4.0, min_samples=4)",0.055416839796296954,0.055416839796296954,0.055416839796296954,0.055416839796296954,0.055416839796296954,25.571725571725572,25.571725571725572,25.571725571725572,25.467775467775468,25.571725571725572
"DBSCAN (eps=4.0, min_samples=5)",0.04628950584861607,0.04628950584861607,0.04628950584861607,0.04628950584861607,0.04628950584861607,21.413721413721415,21.413721413721415,21.413721413721415,21.30977130977131,21.413721413721415
"DBSCAN (eps=4.5, min_samples=2)",0.09061798956766924,0.09061798956766924,0.09061798956766924,0.09061798956766924,0.09061798956766924,34.82328482328482,34.82328482328482,34.82328482328482,34.82328482328482,34.82328482328482
"DBSCAN (eps=4.5, min_samples=3)",0.05301633512159201,0.05301633512159201,0.05301633512159201,0.05301633512159201,0.05301633512159201,28.37837837837838,28.37837837837838,28.37837837837838,28.37837837837838,28.37837837837838
"DBSCAN (eps=4.5, min_samples=4)",0.055416839796296954,0.055416839796296954,0.055416839796296954,0.055416839796296954,0.055416839796296954,25.571725571725572,25.571725571725572,25.571725571725572,25.571725571725572,25.571725571725572
"DBSCAN (eps=4.5, min_samples=5)",0.04628950584861607,0.04628950584861607,0.04628950584861607,0.04628950584861607,0.04628950584861607,21.413721413721415,21.413721413721415,21.413721413721415,21.413721413721415,21.413721413721415
"DBSCAN (eps=5.0, min_samples=2)",0.09061798956766924,0.09061798956766924,0.09061798956766924,0.09061798956766924,0.09061798956766924,34.82328482328482,34.82328482328482,34.82328482328482,34.82328482328482,34.82328482328482
"DBSCAN (eps=5.0, min_samples=3)",0.05301633512159201,0.05301633512159201,0.05301633512159201,0.05301633512159201,0.05301633512159201,28.37837837837838,28.37837837837838,28.37837837837838,28.37837837837838,28.37837837837838
"DBSCAN (eps=5.0, min_samples=4)",0.055416839796296954,0.055416839796296954,0.055416839796296954,0.055416839796296954,0.055416839796296954,25.571725571725572,25.571725571725572,25.571725571725572,25.571725571725572,25.571725571725572
"DBSCAN (eps=5.0, min_samples=5)",0.04628950584861607,0.04628950584861607,0.04628950584861607,0.04628950584861607,0.04628950584861607,21.413721413721415,21.413721413721415,21.413721413721415,21.413721413721415,21.413721413721415
"DBSCAN (eps=5.5, min_samples=2)",0.0873827140743375,0.08631599163118134,0.0864045499156836,0.08525415503310849,0.08525415503310849,35.13513513513514,35.23908523908524,35.23908523908524,35.343035343035346,35.343035343035346
"DBSCAN (eps=5.5, min_samples=3)",0.05206675181034239,0.04919487405177107,0.049281360705799485,0.04636614520254211,0.04636614520254211,28.482328482328484,28.794178794178794,28.794178794178794,29.10602910602911,29.10602910602911
"DBSCAN (eps=5.5, min_samples=4)",0.05447672002481199,0.05447672002481199,0.05171863688581068,0.05447672002481199,0.05447672002481199,25.675675675675674,25.675675675675674,25.987525987525988,25.675675675675674,25.675675675675674
"DBSCAN (eps=5.5, min_samples=5)",0.042091207282991754,0.042091207282991754,0.039695260186555295,0.042091207282991754,0.042091207282991754,21.933471933471935,21.933471933471935,22.245322245322246,21.933471933471935,21.933471933471935
"DBSCAN (eps=6.0, min_samples=2)",0.095986022731957,0.09607509555506692,0.09607509555506692,0.09607509555506692,0.09607509555506692,36.7983367983368,36.7983367983368,36.7983367983368,36.7983367983368,36.7983367983368
"DBSCAN (eps=6.0, min_samples=3)",0.05009128254014152,0.05017815555048591,0.05017815555048591,0.05017815555048591,0.05017815555048591,29.72972972972973,29.72972972972973,29.72972972972973,29.72972972972973,29.72972972972973
"DBSCAN (eps=6.0, min_samples=4)",0.05447672002481199,0.05171863688581068,0.05171863688581068,0.05171863688581068,0.05171863688581068,25.675675675675674,25.987525987525988,25.987525987525988,25.987525987525988,25.987525987525988
"DBSCAN (eps=6.0, min_samples=5)",0.042091207282991754,0.039695260186555295,0.039695260186555295,0.039695260186555295,0.039695260186555295,21.933471933471935,22.245322245322246,22.245322245322246,22.245322245322246,22.245322245322246
"DBSCAN (eps=6.5, min_samples=2)",0.09673663965032882,0.09673663965032882,0.0972630529450333,0.09561711046348476,0.09561711046348476,37.11018711018711,37.11018711018711,37.42203742203743,37.21413721413722,37.21413721413722
"DBSCAN (eps=6.5, min_samples=3)",0.05065336694155235,0.05065336694155235,0.049701091683179294,0.049701091683179294,0.049701091683179294,30.04158004158004,30.04158004158004,30.14553014553015,30.14553014553015,30.14553014553015
"DBSCAN (eps=6.5, min_samples=4)",0.053849854676117734,0.053849854676117734,0.0500672470371651,0.0500672470371651,0.0500672470371651,26.611226611226613,26.611226611226613,27.027027027027028,27.027027027027028,27.027027027027028
"DBSCAN (eps=6.5, min_samples=5)",0.038995474362874864,0.038995474362874864,0.041045349862159256,0.038995474362874864,0.038995474362874864,22.34927234927235,22.34927234927235,22.86902286902287,22.34927234927235,22.34927234927235
"DBSCAN (eps=7.0, min_samples=2)",0.09725385667539475,0.09625519494540631,0.09273750959491195,0.09625519494540631,0.09625519494540631,37.733887733887734,37.83783783783784,37.83783783783784,37.83783783783784,37.83783783783784
"DBSCAN (eps=7.0, min_samples=3)",0.05691192280654256,0.05606996727183771,0.049701091683179294,0.05606996727183771,0.05606996727183771,30.457380457380456,30.561330561330564,30.14553014553015,30.561330561330564,30.561330561330564
"DBSCAN (eps=7.0, min_samples=4)",0.0500672470371651,0.049256367472098696,0.0500672470371651,0.049256367472098696,0.049256367472098696,27.027027027027028,27.13097713097713,27.027027027027028,27.13097713097713,27.13097713097713
"DBSCAN (eps=7.0, min_samples=5)",0.041045349862159256,0.040334544312081166,0.041045349862159256,0.040334544312081166,0.040334544312081166,22.86902286902287,22.972972972972975,22.86902286902287,22.972972972972975,22.972972972972975
"DBSCAN (eps=7.5, min_samples=2)",0.09400433866394133,0.09257985653249798,0.09290124870692903,0.09148205953011149,0.09148205953011149,38.04573804573805,38.357588357588355,38.149688149688146,38.46153846153847,38.46153846153847
"DBSCAN (eps=7.5, min_samples=3)",0.05606996727183771,0.05799346837851301,0.055116737297982346,0.057026812275274695,0.057026812275274695,30.561330561330564,30.87318087318087,30.665280665280665,30.97713097713098,30.97713097713098
"DBSCAN (eps=7.5, min_samples=4)",0.049256367472098696,0.049256367472098696,0.045569004875066293,0.045569004875066293,0.045569004875066293,27.13097713097713,27.13097713097713,27.546777546777545,27.546777546777545,27.546777546777545
"DBSCAN (eps=7.5, min_samples=5)",0.040334544312081166,0.040334544312081166,0.040334544312081166,0.040334544312081166,0.040334544312081166,22.972972972972975,22.972972972972975,22.972972972972975,22.972972972972975,22.972972972972975
"DBSCAN (eps=8.0, min_samples=2)",0.09371251813240693,0.08927145022762939,0.08927145022762939,0.08927145022762939,0.08927145022762939,38.25363825363826,38.66943866943867,38.66943866943867,38.66943866943867,38.66943866943867
"DBSCAN (eps=8.0, min_samples=3)",0.057026812275274695,0.057026812275274695,0.057026812275274695,0.057026812275274695,0.057026812275274695,30.97713097713098,30.97713097713098,30.97713097713098,30.97713097713098,30.97713097713098
"DBSCAN (eps=8.0, min_samples=4)",0.045569004875066293,0.045569004875066293,0.045569004875066293,0.045569004875066293,0.045569004875066293,27.546777546777545,27.546777546777545,27.546777546777545,27.546777546777545,27.546777546777545
"DBSCAN (eps=8.0, min_samples=5)",0.040334544312081166,0.040334544312081166,0.040334544312081166,0.040334544312081166,0.040334544312081166,22.972972972972975,22.972972972972975,22.972972972972975,22.972972972972975,22.972972972972975
"DBSCAN (eps=8.5, min_samples=2)",0.08708076701189656,0.08708076701189656,0.08708076701189656,0.08708076701189656,0.08708076701189656,38.87733887733888,38.87733887733888,38.87733887733888,38.87733887733888,38.87733887733888
"DBSCAN (eps=8.5, min_samples=3)",0.057026812275274695,0.057026812275274695,0.057026812275274695,0.057026812275274695,0.057026812275274695,30.97713097713098,30.97713097713098,30.97713097713098,30.97713097713098,30.97713097713098
"DBSCAN (eps=8.5, min_samples=4)",0.045569004875066293,0.045569004875066293,0.045569004875066293,0.045569004875066293,0.045569004875066293,27.546777546777545,27.546777546777545,27.546777546777545,27.546777546777545,27.546777546777545
"DBSCAN (eps=8.5, min_samples=5)",0.040334544312081166,0.040334544312081166,0.040334544312081166,0.040334544312081166,0.040334544312081166,22.972972972972975,22.972972972972975,22.972972972972975,22.972972972972975,22.972972972972975
"DBSCAN (eps=9.0, min_samples=2)",0.08708076701189656,0.08929888300218314,0.08603795390670156,0.08929888300218314,0.0903601317950953,38.87733887733888,39.397089397089395,38.981288981288984,39.397089397089395,39.2931392931393
"DBSCAN (eps=9.0, min_samples=3)",0.057026812275274695,0.057495832440693714,0.05609413838888277,0.057495832440693714,0.058437377554061254,30.97713097713098,31.288981288981287,31.08108108108108,31.288981288981287,31.185031185031185
"DBSCAN (eps=9.0, min_samples=4)",0.045569004875066293,0.04592445783024562,0.04469640139802971,0.04592445783024562,0.046805806613826266,27.546777546777545,27.85862785862786,27.650727650727653,27.85862785862786,27.754677754677754
"DBSCAN (eps=9.0, min_samples=5)",0.040334544312081166,0.04223127782190436,0.03954447250314022,0.04223127782190436,0.043047357638869216,22.972972972972975,23.7006237006237,23.076923076923077,23.7006237006237,23.596673596673597
"DBSCAN (eps=9.5, min_samples=2)",0.08710128326132731,0.08792263573000118,0.08710128326132731,0.08606121608772857,0.08606121608772857,39.604989604989605,39.70893970893971,39.604989604989605,39.70893970893971,39.812889812889814
"DBSCAN (eps=9.5, min_samples=3)",0.057495832440693714,0.058177304352725945,0.057495832440693714,0.056565023673540916,0.056565023673540916,31.288981288981287,31.392931392931395,31.288981288981287,31.392931392931395,31.496881496881496
"DBSCAN (eps=9.5, min_samples=4)",0.04592445783024562,0.04651932182002614,0.04592445783024562,0.04505369819260164,0.04592445783024562,27.85862785862786,27.96257796257796,27.85862785862786,27.96257796257796,27.96257796257796
"DBSCAN (eps=9.5, min_samples=5)",0.04223127782190436,0.04270420636941761,0.04223127782190436,0.04223127782190436,0.04223127782190436,23.7006237006237,23.804573804573806,23.7006237006237,23.7006237006237,23.804573804573806
Hierarchical,0.5131637026347337,0.5131637026347337,0.5131637026347337,0.5144180894626255,0.5155667044650685,100.0,100.0,100.0,100.0,100.0
K-means,0.5003766811243325,0.4755425129002383,0.5016650586984905,0.5010096764999346,0.5019702545801538,100.0,100.0,100.0,100.0,100.0
