Reorganized_from_chatgpt_Foods,Average_linkage_683_Foods
Olive,Olive
Cabbage,Cabbage
Whole wheat bread,Deerberry
Rambutan,Whole wheat bread
Durian,Rambutan
Sour cream,Durian
Spelt,Spelt
Vinegar,Vinegar
Oats,Bean
Bean,Ice cream
Ice cream,Akutaq
Akutaq,Mule deer
Mule deer,Northern pike
Northern pike,Horse
Horse,Gelatin
White wine,White wine
Olive oil,Egg roll
Gelatin,Triticale
Egg roll,Yellowtail amberjack
Triticale,Angelica
Yellowtail amberjack,Pak choy
Pak choy,Chum salmon
Peanut oil,Cusk
Kidney bean,Turbot
Emu,Emu
Yeast,Nuts
Abalone,Soursop
Wild rice,Abalone
Scarlet bean,Wild rice
Deer,Scarlet bean
Blackberry,Colorado pinyon
Coriander,Fishes
Yellowfin tuna,Deer
Meatloaf,Blackberry
Tostada,Coriander
Teff,Yellowfin tuna
Quince,Meatloaf
Peanut butter,Tostada
Safflower,Teff
Cornbread,Quince
Soybean oil,Safflower
Coffee,Cornbread
Rye bread,Coffee
Chili,Soybean oil
Canada blueberry,Rye bread
Mollusks,Chili
Arepa,Canada blueberry
Rhubarb,Mollusks
Butternut squash,Alpine sweetvetch
Common mushroom,Ginseng
Rice bread,Lemon verbena
Radish,Arepa
Atlantic herring,Leather chiton
Pectin,Swamp cabbage
Pupusa,Greenthread tea
Cocoa powder,Grouper
Tomato,Butternut squash
Remoulade,Common mushroom
Oyster mushroom,Rice bread
Sunflower seeds,Radish
Agar,Greenland halibut/turbot
Shiitake,Pectin
Tamale,Atlantic herring
Dandelion greens,Pupusa
Broccoli,Cocoa powder
Whisky,Remoulade
Jackfruit,Yautia
Pepper,Oyster mushroom
Leek,Pepper (C. baccatum)
Breadfruit,Agar
Soybean,Blackcurrant
Kale,Shiitake
Cuttlefish,Oat
Tilefish,Tamale
Lettuce,Agave
Green bean,Broccoli
Pear,Fireweed
Chestnut,Jackfruit
Cloves,Whisky
Collard greens,Pepper
Popcorn,Leek
Green tea,Breadfruit
Toffee,Gefilte fish
Rainbow smelt,Kale
Chinese water chestnut,Cuttlefish
Pizza,Silver linden
Barley,Tilefish
Meringue,Lettuce
Chocolate,Green bean
Lemon balm,Tinda
Charr,Potato puffs
Cloud ear fungus,Chestnut
Pheasant,Cloves
Bluefish,Pear
American butterfish,Popcorn
Horchata,Green tea
Chicory,Toffee
Soup,Rainbow smelt
Pretzels,Chinese water chestnut
White bread,Pizza
Jew's ear,Lotus
Crab,Borage
Globe artichoke,Barley
Black huckleberry,Meringue
Horseradish,Chocolate
Haddock,Lemon balm
Orange,Charr
Mixed nuts,Cloud ear fungus
Loganberry,French plantain
Pumpkin seeds,Pheasant
Atlantic wolffish,Bluefish
Frybread,American butterfish
Peach,Horchata
Okra,Chicory
Ostrich,Soup
Hibiscus tea,Garland chrysanthemum
Soft drink,Hedge mustard
Marshmallow,New Zealand spinach
French toast,Anatidae
Couscous,White bread
Ginger,Ice cream cone
Eggs,Jew's ear
Turnip,Crab
Longan,Globe artichoke
Walleye,European anchovy
Fish burger,Black huckleberry
Doughnuts,Horseradish
Japanese chestnut,Haddock
Coffee mocha,Mixed nuts
Watermelon,Loganberry
Sherbet,Potato gratin
Date,Atlantic wolffish
Ketchup,Frybread
Kumquat,Peach
Sandwich,Okra
Gram bean,Gadiformes
Vanilla,Ostrich
Baked potato,Hibiscus tea
Babassu palm,Soft drink
Natto,Marshmallow
Cocoa bean,Cottonseed
Tarragon,French toast
Caraway,Couscous
Rowanberry,Ginger
Burrito,Eggs
Endive,Turnip
Jerusalem artichoke,Longan
Pollock,Fish burger
Cocoa butter,Walleye
Sheefish,Pumpkinseed sunfish
Safflower oil,Sourdock
Channel catfish,Japanese chestnut
Seaweed products,Coffee mocha
Celery,Date
Walnut,Ketchup
Gin,Greater sturgeon
Malabar spinach,Kumquat
Chinese chestnut,Gram bean
Greylag goose,Vanilla
Black mulberry,Baked potato
Plum,Babassu palm
Dock,Natto
Hamburger,Cocoa bean
Cookies,Tarragon
Japanese persimmon,Caraway
Painted comber,Rowanberry
Ucuhuba butter,Burrito
Wheat,Endive
Sheepshead,Jerusalem artichoke
European chestnut,Pollock
Beer,Lichee
Sesame oil,Cocoa butter
Pastry,Sheefish
Canola oil,Other sandwich
Lychee,Channel catfish
Pomegranate,Walnut
Margarine-like spread,Gin
Rabbit,Chinese chestnut
Lingonberry,Malabar spinach
Allspice,Greylag goose
Soy yogurt,Black mulberry
Zwieback,Lambsquarters
Lotus root,Dock
Persimmon,Hamburger
Soy cream,Trail mix
Shallot,Japanese persimmon
Pikeperch,Painted comber
Buckwheat,Walrus
Oat bread,Wheat
Anise,Sheepshead
Shea tree,European chestnut
Bilberry,Beer
Lemon,Pastry
Apricot,Succotash
Milkshake,Bowhead whale
Mallard duck,Canola oil
Rainbow trout,Pomegranate
Cooking oil,Skunk currant
Beetroot,Tartary buckwheat
Bamboo shoots,Pummelo
Chives,Small-leaf linden
Truffle,Margarine-like spread
Multigrain bread,Rabbit
Margarine,Lingonberry
Watercress,Allspice
Hushpuppy,Malabar plum
Latte,Zwieback
Bayberry,Beluga whale
Papaya,Soy yogurt
Devilfish,Komatsuna
Flour,Soy cream
Avocado,Persimmon
Ymer,Anise
Mountain hare,Shallot
Relish,Pikeperch
Gelatin dessert,Oat bread
Empanada,Natal plum
Common ling,Evening primrose
Red raspberry,Shea tree
Anchovy,Bilberry
Abiyuch,Ginkgo nuts
Adzuki bean,Lemon
Tamarind,Apricot
Yardlong bean,Milkshake
Mate,Mallard duck
Loquat,Rainbow trout
Peanut,Cooking oil
Chewing gum,True seal
Adobo,Bamboo shoots
Cinnamon,Chives
Milk (Cow),Alaska pollock
Cake,Multigrain bread
Chervil,Margarine
Breadsticks,Roe
Pesto,Watercress
Corn,Hushpuppy
Cornmeal,Flour
Rose hip,Bayberry
Beech nut,Papaya
Fudge,Devilfish
Kiwi,Avocado
Fruit juice,Ymer
Red king crab,Mountain hare
Kefir,Gelatin dessert
Chayote,Enchilada
Hard wheat,Empanada
Taro,Relish
Pacific sardine,Common ling
Kelp,Pasta
Sea cucumber,Red raspberry
Quesadilla,Dolphin fish
Candy bar,Fish oil
Macaroni and cheese,Anchovy
Atlantic pollock,Elliott's blueberry
Atlantic salmon,Abiyuch
Lard,Mate
Guinea hen,Adzuki bean
Cardamom,Tamarind
Porridge,Capers
Lemon grass,Loquat
Cottonseed oil,Peanut
Omelette,Yardlong bean
Cardoon,Chewing gum
Nopal,Adobo
Swiss chard,Ostrich fern
Squab,Sunflower
Eggplant,Thistle
Nutritional drink,Cinnamon
Arrowroot,Icing
Saskatoon berry,Bearded seal
Flaxseed,Milk (Cow)
Spirulina,Other fish product
Red algae,Cake
Cloudberry,Chervil
Garlic,Corn
Chanterelle,Rose hip
Sea trout,Beech nut
Purple laver,Sorrel
Apple,Fudge
Black salsify,Cucurbita
Crackers,Kiwi
Pacific jack mackerel,Fruit juice
Conch,Norway pout
Black raspberry,Spotted seal
Naranjilla,Sausage
Whey,Red king crab
Molasses,Kefir
Spinach,Cupuacu
Chocolate mousse,Chayote
Oatmeal,Hard wheat
Rock ptarmigan,Taro
Chimichanga,Pacific sardine
Monkfish,"Clupeinae (Herring, Sardine, Sprat)"
Pistachio,Kelp
Sunflower oil,Other pasta dish
Sherry,Sea cucumber
White sucker,Quesadilla
Pie,Candy bar
Scallop,Macaroni and cheese
Cassava,Atlantic pollock
Cocktail sauce,Atlantic salmon
Madeira wine,Marzipan
Honey,Guinea hen
Quail,Cardamom
Common carp,Lemon grass
Hyacinth bean,Cardoon
Tofu,Rice
Breadnut,Nopal
Grape,Tea leaf willow
Sockeye salmon,Potato chip
Jicama,Squab
Whiting,Eggplant
Grass pea,Nutritional drink
Black tea,Arrowroot
Pudding,Saskatoon berry
Alfalfa,Flaxseed
Red wine,Spirulina
Spiny lobster,Red algae
Soy milk,Cloudberry
Fennel,Chanterelle
Burdock,Butternut
Muffins,Garlic
Sea-buckthorn,Towel gourd
Corn oil,Tree fern
Cumin,Sea trout
Cream,Purple laver
Dumpling,Cherry tomato
Millet,Green turtle
Hazelnut,Apple
Port wine,Black salsify
Yam,Giant butterbur
Other bread product,Mexican groundcherry
Chocolate milk,Pacific jack mackerel
Muskmelon,Pate
Bitter gourd,Black raspberry
Enokitake,Conch
Cupuaçu,Snapper
Butter,Naranjilla
Dragee,Whey
Breadnut tree seed,Molasses
Purslane,Spinach
Star anise,Chocolate mousse
Nutmeg,Rock ptarmigan
Breakfast cereal,Chimichanga
Sorbet,Pistachio
Snail,Red onion
Prickly pear,Fruit preserve
Kombu,Monkfish
Milk (Human),Milkfish
Dill,Sherry
Rum,White sucker
Semolina,Pie
Chinook salmon,Striped bass
Oil-seed Camellia,Scallop
Trout,Cassava
Arabica coffee,Madeira wine
Star fruit,American shad
Jostaberry,Honey
Yogurt,Lumpsucker
Shea butter,Quail
Lentils,Horned melon
Hot chocolate,Breakfast sandwich
Wasabi,Hyacinth bean
Sage,Tofu
Gooseberry,Common carp
Taco,Grape
Chinese bayberry,Sockeye salmon
Chutney,Jicama
Lovage,Anguilliformes
Jujube,Tapioca pearl
Yellow zucchini,Other snack food
Quinoa,Whiting
Winged bean,Grass pea
Northern bluefin tuna,Casein
Red rice,Black tea
Mulberry,Pudding
Saffron,Alfalfa
Rocket salad,Red wine
Wild boar,Spiny lobster
Leavening agent,Soy milk
Common persimmon,Fennel
Onion,Burdock
Sesame seeds,Cumin
Rosemary,Cream
Chia seeds,Dumpling
Lime,Spirit
Nougat,Millet
Mustard greens,Hazelnut
Turkey,Port wine
Maitake,Yam
Potato bread,Nuttall cockle
Black crowberry,North Pacific giant octopus
Pacific rockfish,Norway haddock
Sablefish,Other bread product
Guava,Muskmelon
Lake trout,Bitter gourd
Bison,Enokitake
Atlantic halibut,Butter
Coconut,Dragee
Pine nuts,Breadnut tree seed
Sweet custard,Purslane
Cheese,Star anise
Pacific herring,Nutmeg
Chocolate spread,Breakfast cereal
Noodles,Snail
Tortilla,Prickly pear
Celeriac,Rowal
Amaranth,Kombu
Mammee apple,Ocean pout
Cherimoya,Cisco
Flatfish,Milk (Human)
Boysenberry,Dill
Croissant,Salmonberry
Grapefruit,Rum
Salad dressing,Semolina
Blue whiting,Garfish
Topping,Spanish mackerel
Barbecue sauce,Perciformes
Atlantic croaker,Chinook salmon
Potato,Oil-seed Camellia
Spaghetti,Arabica coffee
Pili nut,Star fruit
Piki bread,Jostaberry
Hot sauce,Yogurt
Spiny dogfish,Lentils
Dulce de leche,Hot chocolate
Shortening,Wasabi
Broad whitefish,Common octopus
Crayfish,Gooseberry
Irish moss,Taco
Horseradish sauce,Chinese bayberry
Cashew nut,Lovage
Winter savory,Heart of palm
Fenugreek,Jujube
Condensed milk,Yellow zucchini
Parsnip,Quinoa
Vegetable juice,Winged bean
Mountain yam,Northern bluefin tuna
Lobster,Red rice
Cucumber,Mulberry
Kohlrabi,Pie crust
Medlar,Saffron
Hot dog,Rocket salad
Blueberry,Wild boar
Catfish,Oil palm
Soy bean,Leavening agent
Stuffing,Common persimmon
Tapenade,Green zucchini
Catjang pea,Rosemary
Sapodilla,Lime
Octopus,Nougat
Cocktail,Turkey
Elderberry,Pineappple sage
Asparagus,Maitake
Carrot,Potato bread
Bagel,Cold cut
Summer savory,Black crowberry
Lasagna,Cornmint
Stew,Pacific rockfish
Ascidians,Sablefish
Miso,Guava
Yellow pond-lily,Japanese pumpkin
Mayonnaise,Lake trout
Salad,Sesame
Brussels sprouts,Bison
Alaska blackfish,Coconut
Sturgeon,Atlantic halibut
Acerola,Sweet custard
Berry wine,Cheese
Banana,Steller sea lion
Mustard,Swordfish
Thyme,Jute
Syrup,Squashberry
Macadamia nut,Pacific herring
Pita bread,Chocolate spread
Rapini,Wonton wrapper
Rye,Spot croaker
Elk,Corn chip
Common dab,Tortilla
Wakame,Sugar
Winter squash,Purple mangosteen
Tortilla chip,Amaranth
Turmeric,Mammee apple
Pancake,Cherimoya
Salsa,Flatfish
Burbot,Orange roughy
Mexican oregano,Boysenberry
King mackerel,Grapefruit
Chickpea,Pan dulce
Whitefish,Ohelo berry
Pasta dishes,Shark
Sweet potato,Salad dressing
Strawberry,Energy drink
Salsify,Corn grits
Whelk,Blue whiting
Snack bar,Topping
Beefalo,Atlantic croaker
Mung bean,Potato
Chicken,Pili nut
Mango,Kai-lan
Lima bean,Piki bread
Pitanga,Other fermented milk
Scrapple,Spiny dogfish
Pineapple,Dulce de leche
Bulgur,Shortening
Ucuhuba,Broad whitefish
Squid,Crayfish
Feijoa,Irish moss
Meatball,Cashew nut
Peppermint,Other alcoholic beverage
Nachos,Winter savory
Spearmint,Fenugreek
Evaporated milk,Condensed milk
Falafel,Parsnip
Groundcherry,Freshwater drum
Annual wild rice,Vegetable juice
Vodka,Lemon sole
European rabbit,Linden
Granola bars,Mountain yam
Vermouth,Cucumber
Muscadine grape,Sago palm
Tea,Other frozen dessert
Albacore tuna,Acorn
Ravioli,Kohlrabi
Rutabaga,Brussel sprouts
Mint,Salt
Atlantic menhaden,Florida pompano
Soy sauce,Medlar
Tahini,Hot dog
Zucchini,Soy bean
Lupine,Catfish
Shrimp,Stuffing
Fig,Fruit salad
Nanking cherry,Catjang pea
Atlantic mackerel,Sapodilla
Hummus,Cocktail
Pacific ocean perch,Elderberry
Coconut oil,Asparagus
Waffle,Carrot
Almond,Bagel
Brazil nut,Summer savory
Smelt,Lasagna
Coho salmon,Stew
Cowpea,Citrus
Buffalo,Ascidians
Raisin bread,Miso
Sake,Yellow pond-lily
Water,Salad
Arrowhead,Acerola
Biscuit,Alaska blackfish
Cauliflower,Berry wine
Black-eyed pea,Mustard
Basil,Banana
Parsley,Sturgeon
Jellyfish,Syrup
Sorghum,Corn salad
Oriental wheat,Phyllo dough
Climbing bean,Macadamia nut
Custard,Pita bread
Nance,Rapini
Passion fruit,Common salsify
Pigeon pea,Rye
Moth bean,Vegetarian food
Oregano,American pokeweed
Lingcod,Elk
Crisp bread,Common dab
Pink salmon,Freshwater eel
Palm oil,Wakame
Buttermilk,Winter squash
Pot pie,Tortilla chip
,Turmeric
,Pancake
,Spread
,Buffalo currant
,Burbot
,Mexican oregano
,Chickpea
,King mackerel
,Epazote
,Whitefish
,Sweet potato
,Strawberry
,Fruit gum
,Sugar substitute
,Sesbania flower
,Whelk
,Snack bar
,Ringed seal
,Beefalo
,Mung bean
,Striped mullet
,Chicken
,Mango
,Lima bean
,Pitanga
,Meat bouillon
,Scrapple
,Pineapple
,Bulgur
,Ucuhuba
,Focaccia
,Pepper (C. chinense)
,Feijoa
,Narrowleaf cattail
,Meatball
,Squid
,Alaska wild rhubarb
,Carob
,Peppermint
,Nachos
,True sole
,Spearmint
,Evaporated milk
,Dandelion
,Falafel
,Groundcherry
,Allium
,Annual wild rice
,Sparkleberry
,Common verbena
,European rabbit
,Vodka
,Scup
,Vermouth
,Muscadine grape
,Tea
,Albacore tuna
,True frog
,Ravioli
,Prairie turnip
,Roselle
,Sauce
,Atlantic menhaden
,Junket
,Common oregano
,Other dish
,Carp bream
,Gadus (Common cod)
,Chia
,Lupine
,Shrimp
,Fig
,Nanking cherry
,Rose wine
,Oregon yampah
,Atlantic mackerel
,Liquorice
,Garden cress
,Welsh onion
,Hummus
,Pacific ocean perch
,Waffle
,Almond
,White lupine
,Brazil nut
,Smelt
,Coho salmon
,Buffalo
,Raisin bread
,Sake
,Water
,Sourdough
,Sour cherry
,Arrowhead
,Biscuit
,Black-eyed pea
,Cauliflower
,Parsley
,Jellyfish
,Sorghum
,Oriental wheat
,Climbing bean
,Nance
,Passion fruit
,Pigeon pea
,Moth bean
,Crisp bread
,Lingcod
,Pink salmon
,Redcurrant
,Buttermilk
,Pot pie
,Rice cake
